arktik	cmevla			      	北冰洋
jarco	gismu   	-ja'o-		      	x_1展示/展现/展览/显示x_2（性质）给接受者x_3	揭露/使显示= {tolmipygau}, {mipyja'o}, {sivja'o}；也指x_1展示x_2（若x_2为物体，则使用{tu'a}，表达了展示的是物体的性质，如果要表达的是物体的“存在性”，则使用“{leka}物体 {cu} {zvati}”）；参见 {tigni}, {cipra}, {zgana}, {jvinu}, {lanli}, {mipri}, {simlu}.
jarki	gismu   	-jak-		      	x_1是窄的，在尺寸/规格x_2（第二重要的维度）上，基于测量标准x_3	参见 {caxno}, {cinla}, {tordu}, {tagji}, {cmalu}.
jaspu	gismu   	-jap-		      	x_1是发给x_2的护照/通行证，颁发者/机构为x_3，准许持有人进行活动x_4	参见 {pikta}, {catni}, {curmi}.
jatna	gismu   	-ja'a-		      	x_1是领域x_2的带头人/领导者/负责人	参见 {jitro}, {lidne}, te {bende}, {minde}, {ralju}, {gidva}, {bloti}.
javni	gismu   	-jva-		      	x_1是规则/规矩/规定，要求/强制/规定x_2（事件/状态），在系统/社区/团体x_3中	也指：规章/惯例/原则/要求等；x_1是规定的/管理的； x_2/x_3是被规定的/被管理的；参见 {flalu}, {ritli}, {ja'i}, {marde}, {tcaci}, {tinbe}, {zekri}.
jbama	gismu   	-bam-		      	x_1是使用爆炸材料/原料/原理x_2的炸弹/爆炸装置	参见 {cecla}, {spoja}.
jbari	gismu   	-jba-		      	x_1是浆果（植物/果实），属于品种/种类x_2；如葡萄，西红柿	参见 {grute}, {tsiju}, {narge}.
jbena	gismu   	-jbe-		      	x_1是由x_2生出的/产出的，在时间x_3（生日），地点x_4（出生地）	x_2生出x_1；x_3：诞生日；参见 {fange}, {gutra}, {rorci}, {mamta}, {salci}, {citsi}.
jbera	gismu   	-jer-		      	x_1借用/临时使用x_2，来源于x_3，借用时间长度为x_4	信用额= {jernu'e}； 像变色龙一样借用/套用别人的性质= {zaskai}, {zasysmitra}, {zasysmitai}；参见 {dejni}, {janta}, {zivle}.
jbini	gismu   	-bin-   	-bi'i-	      	x_1处于范围/界限/限制/限定x_2之中，具有性质x_3（ka）；x_1处于整体x_2之中	x_2（完整集合，通常是有序的）界定/限制x_1的范围；参见 se {vasru}, {nenri}, {zvati}, {cpana}, {snuji}, {senta}, {bitmu}, {jimte}, {kuspe}, {jibni}, {lamji}, {sruri}, {vanbi}, {midju}, {cmima}, {setca}.
jdari	gismu   	-jar-		      	x_1是牢固的/顽固的/坚强的，在压力/压迫x_2下，在条件x_3下	参见 {nandu}, {ralci}, {randa}, {ranti}, {tinsa}, {sligu}, {stodi}.
jdice	gismu   	-jdi-		      	x_1做决定x_2（du'u），关于x_3（事件/状态）	参见 {pajni}, {cuxna}, {kanji}, {manri}.
jdika	gismu			      	x_1减少/递减/减弱/衰退/变小，在性质/数量x_2上，减少量为x_3	参见 {zenba}, {mleca}, {vimcu}.
jdima	gismu   	-di'a-		      	x_1（数量）是x_2的价格/价钱，购买者/消费者为x_3，卖家/销售者为x_4	x_2 可指特定的物品/商品（团体）/事件/性质；语义上讲，在涉及物体/商品的所有权的转移时，使用{posydi'a}/{posyseldi'a}；价格由卖家设定，比较{friti}（价格可能由买家设定}；注意价格与花费/代价不同，花费/代价是指交易中实际的付出，而价格并不一定与实际交易额相等； {vecnu}和{canja}中的花费并不等同于交易物的“实际价值{vamji}”；参见 {canja}, {friti}, {janta}, {jdini}, {kargu}, {pleji}, {dapma}, {vamji} 价值, ve {vecnu}花费, {canja}, {fepni}, {jerna}, {jinga}, {prali}, {rupnu}, {sfasa}, {vamji}.
jdini	gismu   	-din-   	-di'i-	      	x_1是由x_2发行的货币/通货/钱；x_1是有关于货币的/财政的/金融的	纸币= {pledi'i}；参见 {fepni}, {jdima}, {rupnu}, {sicni}, {canja}.
jduli	gismu   	-dul-   	-jdu-	      	x_1是胶体/半固体/果冻状物体，由物质/材料x_2构成	x_1是胶状的；参见 {litki}, {sligu}.
jecta	gismu   	-jec-   	-je'a-	      	x_1是政体/政府/政治组织，控制/统治土地/主权范围x_2	x_1是关于政治的；参见 {gugde}, {tutra}, {turni}, {natmi}, {jansu}, {lanci}, {cecmu}.
jeftu	gismu   	-jef-		      	在时间长度上，x_1是x_2周（数量，默认1），基于标准x_3	标准x_3：一周可能不是七天，应以实际情况区分；本周= {cabjeftu}；下周= {bavlamjeftu}；上周= {prulamjeftu}；参见 {detri}, {djedi}, {masti}, {nanca}.
jegvo	gismu   	-jeg-   	-je'o-	      	x_1是关于亚伯拉罕诸教（犹太教，伊斯兰教，基督教）的文化/国家/语言/宗教等的事物，在x_2方面	参见 {lijda}, {muslo}, {dadjo}, {xriso}.
jegvon	cmevla			      	耶和华（又译雅威、永为）	称呼犹太教、基督教、伊斯兰教等亚伯拉罕诸教共尊的那个神的说法，常译为专名“耶和华”，又译为“耶威”、“雅威”、“耶胡”、“爷火华”，但其实是自有永有、成事者的意思，所以又有意译为“永恒主”或者直接换称“神”、“主”的，新近有意音兼译为“永为”。参见：{iaves}（雅威，专名）、{cev}（神，专名）、{cevni}（神袛）、{jegvo}（三教共尊的圣经）、{xebro}（希伯来）、{xriso}（基督教）、{muslo}（伊斯兰）。
jelca	gismu   	-jel-		      	x_1燃烧，在温度x_2下，气体环境x_3中	默认x_2为常温，x_3为空气；点燃= {jelcfa}；可燃物/易燃物= {jelka'e}/{jelfrili}；参见 {fagri}, {kijno}, {sigja}, {livla}, {sacki}.
jemna	gismu   	-jme-		      	x_1是宝石/珍珠/珍宝/玉石，具有样式x_2，来自材料/来源/原石x_3	珠宝/宝石饰物= {jmeja'i}； 宝石（= x_2, x_3, 或 {jmero'i}, {jmekunra}）；珍珠={selcakyjme}在贝类中生成/{tercakyjme}由贝壳制成；圆球状宝石={boijme}；珍珠母= {cakyjme}；参见 {kunra}, {rokci}, {jadni}, {dirba}, {kargu}, {krili}, {pulji}.
jenca	gismu   	-jen-		      	x_1（事件）震惊/惊呆了x_2	参见 {darxi}, {gunta}, {spaji}.
jendu	gismu   	-jed-		      	x_1是轴/锭子，x_2绕其上旋转，由材料x_3构成/具有品质x_3	参见 se {carna}, {gunro}, {tutci}.
jenmi	gismu   	-jem-   	-jei-	      	x_1（整体）是军队，服务于/效命于x_2（整体），具有功能x_3（行为）	参见 {bilni}, {sonci}, {xarci}.
jerna	gismu			      	x_1给予接受者x_2报酬/工资/回报，因为工作/服务x_3（行为）	也指：x_2获得报酬/得到回报 （= {zanseljerna}或{nemjerna}）；x_2遭受惩罚/得到报应（= {sfaseljerna}, {malseljerna}）；x_3指行为；工作={terjerna}；x_2可指特定的物品/商品（团体）/事件/性质；语义上讲，在涉及物体/商品的所有权的转移时，使用{posyjerna},{posyseljerna}；参见 {jibri}, {pleji}, {vecnu}, {cnemu}, {canja}, {jdima}, {jinga}, {prali}, {sfasa}, {janta}, {kargu}, {vamji}.
jersi	gismu   	-je'i-		      	x_1追赶（物理上）x_2	x_1在后面跟随x_2；参见 {kavbu}, {rivbi}, {kalte}, {lidne}.
jerxo	gismu   	-jex-		      	x_1在x_2方面很阿尔及利亚（体现了阿尔及利亚文化或国民性）	参见：{friko}（非洲）、{xrabo}（阿拉伯）、{muslo}（伊斯兰）、{fraso}（法兰西）。
jesni	gismu   	-jes-		      	x_1是针/针状物，由材料x_2构成	参见 {konju}, {pijne}, {jipno}, {kinli}.
jetce	gismu   	-je'e-		      	x_1是由材料/物质x_2构成的射束/喷射流，由x_3喷出	参见 {sputu}, {vamtu}.
jetnu	gismu   	-jet-   	-je'u-	      	x_1（du'u）是真的/真实的/真相，给予标准/认知论x_2	基于认知论的词通常含有du'u位；参见 {stace}, {jitfa}, {fatci}, {birti}, {cfika}.
jgalu	gismu   	-ja'u-		      	x_1是x_2的指甲/爪子（身体部位）	参见 {denci}, {jirna}, {batci}.
jganu	gismu   	-jga-		      	x_1是顶点位于x_2的角，具有角度区间x_3（由形成角的两边相对定义）	也指：x_1有棱角的；x_2角落；参见 {kojna}, {linji}, {konju}, {mokca}.
jgari	gismu   	-jai-		      	x_1抓住/握住/紧抓x_2，使用肢体/工具x_3（x_1的一部分），握住点为x_4（x_2的一部分）	抱/拥抱= {birjai}/{pamjai}； 互相握手= {xanjaisi'u}；握住手= {xanjai}；把手/手柄= {jaitci}；参见 {ralte}, {pencu}, {darxi}, {batke}, {rinju}.
jgena	gismu   	-jge-		      	x_1是x_2（物体/jo'u物体）之间的结/纠缠/绞缠/绳结	打结={jgegau}/{jgezu'e}/{jgeri'a}/{jgela'a}；结点= {jgeterjo'e}；参见 {pluja}, {julne}, {lasna}, {skori}.
jgina	gismu   	-gin-		      	x_1是生物x_2的基因/遗传因子，定义性状/行为x_3	也指：染色体={gincilta}/{ginpoi}；参见 {cerda}.
jgira	gismu   	-jgi-		      	x_1对x_2（谓词子句）感到自豪/骄傲/光荣	自豪= {se'ijgi}, {tolcumla}；当指为某人上不特定的特点感到骄傲时，需要使用tu'a；参见 {cinmo}, {cumla}, {sevzi}, {sinma}, {snada}.
jgita	gismu   	-git-		      	x_1是弦乐器（如：吉他/提琴等），带有琴拔/琴弓/激励器x_2	也指：琵琶，大提琴，中提琴等；参见 {zgike}.
jibni	gismu   	-jbi-		      	x_1靠近/接近x_2，在性质/数量x_3上	参见 {darno}, {nenri}, {vanbi}, {jbini}, {lamji}, {zvati}, {cpana}, {bartu}, {diklo}, {stuzi}.
jibri	gismu   	-jib-		      	x_1是x_2的工作/职业/谋生手段	为……工作/给……打工={selplijibri}；参见 {briju}, {gunka}, {te} {jerna} 指明了回报，不指名雇主；{te} {pilno} 指明了雇佣关系，但不指名回报；{se} {gasnu} 和{se} {zukte}指偶然的活动
jicla	gismu			      	x_1（物体/事件/力）搅拌/混合流体x_2（液体/固体）	对流= {nenflejicla}；（施事的）搅拌= {jiclygau}/{jiclyzu'e}；参见 {fanza}, {tunta}, {mixre}.
jicmu	gismu   	-cmu-		      	x_1是x_2的基础/基本/基座/基本原理；x_1是x_2的底座/支撑架/底部	x_2建立在基础x_1上；x_1基础的/基本的/底层的；一般来说，状态/事件可以是另一些状态/事件的基础，而物体则是另一些物体的基础/底基；参见：{ji'u}, {jamfu}, {zbepi}, {genja}, {krasi}.
jijnu	gismu   	-jij-		      	x_1凭直觉感受到/凭直觉知道x_2（du'u），关于主题x_3	关于认知论的词都含有du'u位；参见 {djuno}, {facki}, {jimpe}, {jinvi}, {nabmi}, {pensi}, {sidbo}, {smadi}.
jikca	gismu   	-jik-		      	x_1与x_2进行一些社交行为/x_1对x_2进行交际活动	参见 {tarti}, {penmi}.
jikni	experimental gismu			      	x_1是关于经济的；x_1是由经济组分x_2所构成的（生产/运送/消费）	x_2可能是指国家/地区/劳动力/土地资源/生产资源/交易/分配/消费的商品与服务，它们之间可用JOI相连； {pavmomseljikni}第一产业； {relmomseljikni}第二产业； {cibmomseljikni}第三产业； {vonmomseljikni}第四产业； {gubyseljikni}公有/国有企业； {sivyseljikni}私有企业；{jikseljikni}社会/资源机构/部门；参见 {venci'e}, {selpraci'e}.
jikru	gismu			      	x_1是/含有的烈酒，蒸馏自x_2	参见 {barja}, {vanju}, {birje}, {xalka}.
jilka	gismu   	-jil-		      	x_1是碱，由组分x_2构成	x_1是呈碱性的；参见 {sodna}, {bakri}, {sodva}.
jilra	gismu			      	x_1嫉妒/妒忌x_2，因为x_3（性质ka）	参见 {cinmo}.
jimca	gismu   	-jic-		      	x_1是x_2的枝/肢	也指：附器；参见 {birka}, {rebla}, {tuple}.
jimpe	gismu   	-jmi-		      	x_1了解/理解事实/真相x_2（du'u），关于主题x_3；x_1了解(fi) x_3	参见 {djuno}, {jijnu}, {morna}, {smuni}, {saske}, {viska}.
jimte	gismu   	-jit-		      	x_1是x_2的限制/边界/界限/极限，具有性质/范围x_3	限制/抑制在一定范围内= {jitri'u}/{jitygau}/{jityzu'e}；参见 {ji'e}, {traji}, {korbi}, {kuspe}, {rinju}, {bapli}, {curmi}, {fanta}, {jbini}.
jinci	gismu			      	x_1是修建/剪x_2的剪子	参见 {katna}.
jinga	gismu   	-jig-   	-ji'a-	      	x_1 (人/团队) 赢得/获胜/获(奖) x_2 从(对手) x_3  手中 在竞争 x_4.	x_1 是胜利者/获胜者; _x2 奖品/战利品（物质或精神上或象征）; _x3 是对手，可以是任何与_x1争夺_x2的; _x2 可以是特别的物品，一件事，一场比赛，又或者是女朋友，等等。 参见： {cirko}, {jivna}, {talsa}, {cnemu},{prali}, {pleji},{sfasa}, {jdima}, {jerna}, {bradi}, {kargu},{kelci}.
jinku	gismu			      	x_1是用于x_2抵抗疾病x_3的疫苗/免疫兴奋剂，使用方法x_4接种	也指：免疫血清；接种={jestu'u}/{veljinku}；参见 {jurme}, {mikce}, {jesni}, {bilma}.
jinme	gismu   	-jim-		      	x_1是金属/合金，组分包括x_2	x_1是金属的；参见 {cnisa}, {gasta}, {lastu}, {margu}, {nikle}, {ransu}, {romge}, {sodna}, {tinci}, {tirse}, {tunka}, {zinki}, {kunra}, {sodva}.
jinru	gismu   	-jir-		      	x_1被浸入/没入液体x_2中	洗浴/洗澡= {jirsezlu'i}；参见 {lumci}, {nenri}, {jinsa}.
jinsa	gismu   	-jis-		      	x_1是干净的/纯净的，不含有污渍/秽物x_2，基于标准x_3	参见 {lumci}, {jinru}, {curve}, {sepli}.
jinto	gismu			      	x_1是井/泉眼，含有液体x_2，处于位置x_3	参见 {krasi}, {djacu}, {fenra}.
jinvi	gismu   	-jiv-   	-ji'i-	      	x_1认为x_2（意见/想法du'u）是真实的，关于主题/情形，由于x_4	关于认知论的词都含有du'u位；参见 {pe'i}, {djuno}, {krici}, {ciksi}, {jijnu}, {nabmi}, {pensi}, {senpi}, {sidbo}, {birti}, {pinka}.
jinzi	gismu   	-jiz-		      	x_1（性质ka）是x_2身上的与生俱来的/固有的/天生的/遗传的	参见 {lakne}, {rarna}, {stati}, {ka'e}, {tcaci}.
jipci	gismu			      	x_1是鸡，属于品种/种类x_2	参见 {cipni}.
jipno	gismu   	-jip-   	-ji'o-	      	x_1是物体x_2上位置x_3处的一个点（零维结构）	参见 {mokca}, {jesni}, {fanmo}, {kojna}, {krasi}.
jirna	gismu			      	x_1是x_2的角	参见 {jgalu}, {bongu}.
jisra	gismu			      	x_1是果汁/汁液，来源于/具有类型x_2	从生物源中榨取/提取的汁液；参见 {pinxe}, {djacu}, {grute}, {stagi}.
jitfa	gismu   	-jif-		      	x_1（du'u）是错误的/不真实的，基于标准/认知论/价值观x_2	关于认知论的词都含有du'u位；参见 {fatci}, {stace}, {jetnu}, {cfika}.
jitro	gismu   	-tro-		      	x_1控制/管理/指挥x_2，在x_3（行为/事件/表现）中	x_2是被控制的方面/个体，在行为/事件x_3中；管理/经营（= {selzuktro}, {selzukfu'e}, {gu'etro}, {gunfu'e}, {xaktro}, {xakfu'e}）；管理者/经理/老板=（ {gunterbe'e}, {gunja'a}, {gunmi'e}, {gunca'i}）；参见 {ji'o}, {bapli}, te {bende}, {gidva}, {jatna}, {macnu}, {minde}, {ponse}, {ralju}, {rinka}, {sazri}, {turni}, {vlipa}, {xance}, {xlura}
jivbu	gismu			      	x_1编织/纺织x_2，使用原材料x_3	参见 {fenso}, {nivji}.
jivna	gismu   	-jvi-		      	x_1与对手x_2竞争/比赛，在比赛/对抗x_3（事件）中，为了赢得x_4；x_1与x_2对抗	x_2是对手/敌手/竞争者；x_3比赛/竞赛；x_4奖励/奖金/奖品（可能是内在的/也可能是外在的）；参见 {cnemu}, {jinga}, {talsa}, {bradi}, {fapro}, {kelci}.
jmaji	gismu   	-jaj-		      	x_1（团/jo'u）聚集在位置/地点x_2，从位置/地点x_3（团/jo'u）	也指：焦点/聚集点= {seljmaji}；参见 {crepu}.
jmifa	gismu			      	x_1是浅滩/沙洲/暗礁，由材料x_2构成，处于水体x_3中	湍流= {ri'erjmifa}/{ri'ercaxno}；参见 {caxno}.
jmina	gismu   	-min-		      	x_1将x_2加上x_3，得到结果x_4	参见 {zmadu}, {banro}, {sumji}, {zenba}, {setca}.
jmive	gismu   	-miv-   	-ji'e-	      	x_1活着/生存着，基于标准x_2；x_1是生物	x_1是活的/生物的；参见 {lifri}, {morsi}, {stuzi}, {zvati}, {xabju}.
jordo	gismu   	-jor-   	-jo'o-	      	x_1是关于约旦的文化/国家/语言等的事物，在x_2方面	参见 {filso}.
jorne	gismu   	-jon-   	-jo'e-	      	x_1连接着/结合着x_2，在连接点x_3；x_1与x_2是联盟	也指：用扣件/紧固物x_3固定/连接；扣件/使紧固之物= {jo'etci}/{jonvelyla'a}；相连而成的系列物体={jonpoi}；{porjo'e} 指连接的序列中的单个物体；参见 {lasna}, {fenso}, {kansa}, {pencu}, {penmi}.
jubme	gismu   	-jub-   	-jbu-	      	x_1是桌子/平面，又材料x_2构成，由基座/脚腿/基架x_3支撑	参见 {ckana}, {jamfu}, {nilce}, {zbepi}, {tsina}, {stizu}.
judri	gismu			      	x_1是x_2的坐标/地址，在系统x_3中	参见 {tcita}, {cmene}, {ciste}, {stuzi}.
jufra	gismu   	-juf-   	-ju'a-	      	x_1（文本）是句子，关于x_2（主题/话题/议论等），以语言x_3	短语={jufpau}/{suzrelvla}/{suzvla}/{gensle}；参见 {valsi}, {bangu}, {gerna}, {cusku}, {smuni}.
jukni	gismu   	-juk-		      	x_1是蛛形纲动物/甲壳纲动物，属于品种/种类x_2；如：蜘蛛，螃蟹，龙虾	参见 {cinki}, {danlu}.
jukpa	gismu   	-jup-		      	x_1准备/加工食物x_2，使用加工/烹饪方法x_3	热加工食物={glajukpa}/{glaterjukpa}；烘烤/烤={tokyjukpa}；油炸/油煎={rasyjukpa}；参见 {cupra}, {bredi}.
julne	gismu   	-ju'e-		      	x_1是网/过滤器，允许x_2通过，阻止x_3通过，具有过滤属性x_4	也指：筛子；参见 {komcu}, {ciste}, {jgena}.
jundi	gismu   	-jud-   	-ju'i-	      	x_1注意/关注x_2；x_1将注意力放到x_2上	参见 {kurji}, {zvati}.
jungo	gismu   	-jug-		      	x_1 在 x_2 方面 反映中国文化/语言	包括粤、闽、客、湘、赣、北方，等。 参见： {xazdo}.
junla	gismu   	-jul-		      	x_1是表/钟/计时器，具有计时单位x_2，精度为x_3，使用计时原理/方法x_4	参见 {cacra}, {mentu}, {snidu}, {tcika}, {temci}.
junri	gismu   	-jur-		      	x_1是严肃的/认真的，对事件/状态/行为x_2	庄严的/肃穆的/隆重的= {drijunri}/{ri'irjunri}/{tcejunri}；参见 {tilju}, {xalbo}, {badri}, {ritli}.
junta	gismu			      	x_1是物体x_2的重量，在场x_3中（重力场或其它场）	参见 {grake}, {linto}, {tilju}, {bunda}.
jurme	gismu   	-jum-		      	x_1是单细胞生物（细菌/原生生物等），属于种类/具有定义属性x_2	参见 {vidru}.
jursa	gismu   	-jus-		      	x_1（事件/状态/行为）对x_2来说是剧烈的	参见 {gunta}, {vlile}.
jutsi	gismu   	-jut-		      	x_1是一个物种，属于种x_2，属x_3，……（开放式的树结构分类）	位并不特定对应某个生物分类等级，基本的原则是：x_1是比x_2更低的分类等级，x_2由低于x_3，以此类推；跳过一个位意味着其中有一个或多个未被特定指明的分类等级；并不特定指林奈动物/植物分类学；参见 {klesi}, {lanzu}.
juxre	gismu   	-jux-		      	x_1（行为）是笨拙的/不得当的	参见 {sluji}, {muvdu}.
jvinu	gismu   	-vin-   	-ji'u-	      	x_1是x_2（物体/地点）的景色，从观测点x_3看来	参见 {catlu}, {kanla}, {viska}, {canko}, {jarco}.
jycybyb	cmevla			      	JCB（人名缩写）	即James Cooke Brown
kabri	gismu			      	x1是杯/碗/盅/钵，盛有x2，以x3为材料制成	{kabri} 通常用于举起来吃喝，{plata} 不这样使用
kacma	gismu			      	x_1是相机/摄像设备，将图像x_2记录到媒介x_3中	参见 {lenjo}.
kadno	gismu			      	x_1是关于加拿大的文化/国家/语言等的事物，在x_2方面	参见 {bemro}, {glico}.
kafke	gismu			      	x_1咳嗽/放屁/打嗝，放出x_2（主要是气体），从孔口x_3放出	参见 {bilma}, {senci}, {sputu}, {vamtu}.
kagni	gismu   	-kag-		      	x_1是公司/企业/合作社，由x_2许可设立/建立，为了目的/用途x_3	也指：机构/组织（受许可建立）；参见 {kansa}, {kamni}, {banxa}, {bende}.
