ko'oi	experimental cmavo			   	UI6      	談話系：命令	``{ko}'' は ''{do} {ko'oi}'' の短縮形。{au}, {a'o}, {e'o}, {e'u}, {e'a}, {ei} の上位語。 「do .onai ko'oi lo mi speni co'a morsi／あなたが死ぬか夫が死ぬか、どちらか一人死んでくれ」（芥川龍之介『藪の中』） 「ra ko'oi citka lo brioco／（パンが無ければ）ブリオッシュを食べるが良い（Jean-Jacques Rousseau: Les Confessions, Livre VI） 「lo ko'oi se platu be do ku te snada／あなたの計画がうまく行きますように」 「mi ko'oi dandu janai jifsku／俺の言うことが嘘だったら、首を吊ってやるさ」 ・読み方： コホイ  ・関連語：{minde}, {cpedu}, {curmi}, {pacna}, {stidi}, {djica}, {bilga} 
ko'u	cmavo			   	KOhA4      	sumti 変数（彼女／彼／其）５ ： 代詞（sumti）； goi で配当する	・読み方： コフ
ku	cmavo			   	KU      	sumti 末端 ： 境界詞； sumti の末端を示す	「vu ja vi ku lo bonsna pu co'a ca ca'o durcarvi／遠く近く波音のしぐれてくる」（山頭火『行乞記（二）』） ・読み方： ク
ku'a	cmavo   	-kuz-		   	JOI      	集合交差 ： 接続詞（非論理・sumti/selbri）； 集合の交差、積集合	・大意： 数学的交差 ・読み方： クハ
ku'e	cmavo			   	KUhE      	前置型MEX終了 ： 境界詞； ポーランド記法などの前置型MEX（数式）の終わりを示す	・読み方： クヘ
ku'i	cmavo			   	UI3b      	しかしながら	心態詞（談話系）； しかし／だが／ところが／それでも「tu'a da se tirna je ku'i na'e se viska／声はすれども姿は見えず」 「mi ca cliva .i ku'i mi ba za xruti／今は席を外すが、後で戻ってくる」 ・読み方： クヒ ・関連語： {karbi}, {dukti}, {nalpanra}
ku'inai	cmavo-compound			   	UI*3b      	だから／つまり／だって	心態詞（談話系）； {ku'i} の反対。 期待通りの接続を表す。 「lo mensi pu cpapro lo nu spebi'o .i ku'inai lo si'o tolspe cu marde my.／妹は結婚の申し出を断った。独身主義者だから。」 ・読み方： クヒナイ ・関連語： {sarxe}
ku'o	cmavo			   	KUhO      	関係節終了 ： 境界詞； NOI類で開かれた関係節を閉じる	・読み方： クホ
ku'u	cmavo			   	BAI      	～（文化）のもと ： kulnu 法制詞, x_1	・読み方： クフ
ky	cmavo			   	BY2      	k ： 字詞；	・読み方： カァ
la	cmavo			   	LA      	名付けられたもの ： 冠詞（渾名系）； selbri あるいは cmevla を冠する；	「la .tanakan.／田中さん」 ・読み方： ルァ
la'a	cmavo			   	UI3      	蓋然性； ありそう （ la'a ありそう - la'anai ありそうもない）	心態詞（談話系）； 事物が真でありうる「la'a mi se xebni／私、嫌われているのかも。」 「.i le mensi be mi ca xabju la boston ja'e le nu la'a mi vitke fi le se diklo／私の姉が今ボストンに住んでいるから、私はたぶんその辺りを訪れるだろう」 「la'a le vukrygu'e tcini cu ba se jalge lo nu panpi ku'i／ただ、ウクライナ情勢は結果として平和をもたらすことになりそうだ」 ・読み方： ルァハ ・関連語： {lakne}
la'anai	cmavo-compound			   	UI*3      	蓋然性に欠ける； ありそうもない （ la'a ありそう - la'anai ありそうもない）	心態詞（談話系）； 事物が真でありそうもない「la'anai do se xebni／あなたが嫌われているはずがない。」 「i ku'i la'a nai su'o da cizra ro de ro di／しかし、全ての人にとってあらゆる点で奇妙なものなど、存在しそうもない」 ・読み方： ルァハナイ
la'e	cmavo			   	LAhE      	～の指示対象 ： 限定詞； sumti の左に付いて、その sumti の指示対象を引き出す；	「la'e di'u tamca／さっき述べたもの（の指示対象）はトマトです」、「la'e」が無いと「さっき述べた発言／文字列はトマトです」となるが、発言／文字列そのものはトマトになりえない。 ・読み方： ルァヘ
lai	cmavo			   	LA      	名付けられた群 ： 冠詞（渾名系）； selbri あるいは cmevla を冠する；	「lai .tanakan.／田中さん（という名前の人）達」 ・読み方： ルァイ
la'i	cmavo			   	LA      	名付けられた集合 ： 冠詞（渾名系）； selbri あるいは cmevla を冠する；	「la'i .tanakan.／田中さん（という名前の人）達」 ・読み方： ルァヒ
la'o	cmavo			   	ZOI      	未ロジバン化名 ： 冠詞； ロジバン化されていない名称を冠する； 名称の範囲は何らかの境界子で示されている必要がある；	「zoi」は他言語全般のための境界子。特に日本語であることを示すなら「ponjo」から「py」、英語なら「glico」から「gy」、インターネットなら「net」、YouTube なら「utub」等。「la'o zoi 笑っていいとも zoi」 ・読み方： ルァホ
lau	cmavo			   	LAU      	句読点標識 ： 「... bu」の左に付いてそれが句読点であることを表す	・読み方： ルァウ
la'u	cmavo			   	BAI      	～（数量）度で ： klani 法制詞, x_1 ；	「la'u li 90 mrobi'o／90歳で亡くなる」「la'u li 3 korkla／３マス進む」 ・読み方： ルァフ
le	cmavo			   	LE      	形容されたもの ： 冠詞（主観系）； selbri を冠する； 指示対象は必ずしもその selbri に真に当てはまるとは限らない；	「le ninmu cu nanmu／あの女（とされている者）は男だ」 ・読み方： ルェ
le'a	cmavo			   	BAI      	～をカテゴリーとして ： klesi 法制詞, x_1；	「zgipre le'a lo cnino／新しいジャンルの音楽アーティスト」 ・読み方： ルェハ
le'ai	experimental cmavo			   	LEhAI      	境界詞； 誤り訂正引用構造の末端を示す。	{lo'ai} ... {sa'ai} ... le'ai の置換構造を使うことで、聴き手に {lo'ai}の後の語句を{sa'ai} の後の語句で置き換えるよう要請することができる。{sa'ai} ... {lo'ai} ... le'ai という順序も許容されるほか、片方（もしくは両方とも）を省略することもでき、その場合は文脈によって判断する。両方が省略されているとき、le'ai は、その詳細は文脈に任せるが、誤りがあったということを明示する。le'ai の構造にSAI類をつけることも可能である： le'ai {dai} （= le'ai {da'oi} ko'a）は他の誰かが誤ったということを示す。また、 le'ai {pei} は、他の誰かが誤ったかどうかを尋ねる。そして、{sai}, {ru'e}, {cu'i} はその誤りの訂正の重要性を示す。さらに、le'ai {nai} はその訂正を認めずに、誤りを明確に否定するのに使われる。　・関連語：{lo'ai}, {sa'ai}
le'e	cmavo   	-lem-		   	LE      	形容された典型 ： 冠詞（主観系）； selbri を冠する	「ステレオタイプ的」も。 ・大意： 象徴的な ・読み方： ルェヘ
lei	cmavo			   	LE      	形容された群 ： 冠詞（主観系）； selbri を冠する	・読み方： ルェイ
le'i	cmavo			   	LE      	形容された集合 ： 冠詞（主観系）； selbri を冠する	・読み方： ルェヒ
le'o	cmavo			   	UI5      	攻勢 （ le'o 攻勢 - le'ocu'i 無抵抗 - le'onai 守勢）	心態詞（修飾系）； 攻撃的／罵倒的／獰猛な態度 ・読み方： ルェホ  ・関連語： {gunta}, {bandu}
le'ocu'i	cmavo-compound			   	UI*5      	無抵抗 （ le'o 攻勢 - le'ocu'i 無抵抗 - le'onai 守勢）	心態詞（修飾系）； ・読み方： ルェホシュヒ
le'onai	cmavo-compound			   	UI*5      	守勢 （ le'o 攻勢 - le'ocu'i 無抵抗 - le'onai 守勢）	心態詞（修飾系）； ・読み方： ルェホナイ
le'u	cmavo			   	LEhU      	エラー引用終了 ： 境界詞； lo'u で開かれたエラー引用の範囲を閉じる	・読み方： ルェフ
li	cmavo			   	LI      	数量 sumti 開始 ： 数量詞の左に付いてこれを sumti にする	・読み方： ルィ
li'a	cmavo			   	UI3      	明らかに （ li'a 明らかに - li'anai それとなく）	心態詞（談話系）；「li'a lo'i solba'a co'a barda／太陽の黒点が明らかに増えている。」 「li'a la lojban zmadu la postskript lo ka frili／明らかにロジバンはPostScriptより簡単だ」 「.i li'a mi naku viska ro marna pilno .i ku'i lo zasni nu bebna cu se rinka lo nu pilno lo marna .i ro prenu cu djuno la'e di'u／もちろん全てのマリファナ使用者を見たわけではないが、一時的に愚かな言動をするのはマリファナの使用が原因だ。皆そのことを知っている。」 ・読み方： ルィハ ・関連語： {klina}
li'anai	cmavo-compound			   	UI*3      	それとなく （ li'a 明らかに - li'anai それとなく）	心態詞（談話系）；「koltarla panci li'o pa'a lo nu badri ku pa'a lo nu sumne ku vau li'anai／コルタアの香の（中略）愁ひつつ、にほひつつ、そこはかとなく」（北原白秋『東京景物詩』） 「li'anai go'i je'e／うーん、なんとなくわかった」 ・読み方： ルィハナイ
li'e	cmavo			   	BAI      	～が引率して／に先を越されて ： lidne 法制詞, x_1	・読み方： ルィヘ
li'i	cmavo   	-liz-		   	NU      	経験抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する経験を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される経験、 x_2 （経験者）の	・大意： 抽象： 経験 ・読み方： ルィヒ  ・関連語： {lifri}
li'o	cmavo			   	UI3a      	省略文字列	心態詞（談話系）； 省略された／する文字列の代わりに置く。 「koltarla panci li'o pa'a lo nu badri ku pa'a lo nu sumne ku vau li'anai／コルタアの香の（中略）愁ひつつ、にほひつつ、そこはかとなく」（北原白秋『東京景物詩』） 「lo pavdei cu pa moi djedi .i lo reldei cu re moi djedi .i li'o／月曜日が1日目、火曜日が2日目、以下略」 ・読み方： ルィホ
li'u	cmavo			   	LIhU      	引用終了 ： 境界詞； lu で開かれた引用の範囲を閉じる	・読み方： ルィフ
lo	cmavo			   	LE      	それであるもの ： 冠詞（客観系）； selbri を冠する； 指示対象は真にその selbri に当てはまる	・読み方： ルォ
lo'a	cmavo			   	BY1      	ロジバン文字変換 ： 字詞をロジバン文字（通常はローマ字）に変換する	・読み方： ルォハ
lo'ai	experimental cmavo			   	LOhAI      	直近の文についての誤り訂正引用構造の誤り部を開始する。	lo'ai ... {sa'ai} ... {le'ai} の置換構造を使うことで、聴き手に lo'aiの後の語句を{sa'ai} の後の語句で置き換えるよう要請することができる。{sa'ai} ... lo'ai ... {le'ai} という順序も許容されるほか、片方（もしくは両方とも）を省略することもでき、その場合は文脈によって判断する。両方が省略されているとき、{le'ai} は、その詳細は文脈に任せるが、誤りがあったということを明示する。　・関連語：{sa'ai},{le'ai}
lo'e	cmavo   	-lom-		   	LE      	そうである典型 ： 冠詞（客観系）； selbri を冠する	・大意： 典型的な ・読み方： ルォヘ
loi	cmavo			   	LE      	そうである群 ： 冠詞（客観系）； selbri を冠する	・読み方： ルォイ
lo'i	cmavo			   	LE      	そうである集合 ： 冠詞（客観系）； selbri を冠する	・読み方： ルォヒ
lo'o	cmavo			   	LOhO      	数量 sumti 終了 ： 境界詞； li で開かれた数量 sumti の範囲を閉じる	・読み方： ルォホ
lo'u	cmavo			   	LOhU      	エラー引用開始 ： 非文法的／中途半端なロジバン語の文字列を引用する	・読み方： ルォフ
lu	cmavo			   	LU      	引用開始 ： 文法的なロジバン語の文字列を引用する	・読み方： ルゥ
lu'a	cmavo			   	LAhE      	～の個 ： 限定詞； sumti の左に付いて、集合／群の個を引き出す；	「lo'i ratcu cu barda .iku'i lu'a ri cmalu／ネズミの集合は大きいが、その個は小さい」 ・読み方： ルゥハ
lu'e	cmavo			   	LAhE      	～の記号 ： 限定詞； sumti の左に付いて、その記号を引き出す；	「viska lu'e lo cukta／（リストなどに記されている）本のタイトルを見る」 ・読み方： ルゥヘ
lu'i	cmavo			   	LAhE      	～の集合 ： 限定詞； sumti の左に付いて、その集合を引き出す；	「lo ratcu cu cmalu .iku'i lu'i ri barda／ネズミは小さいが、その集合は大きい」 ・読み方： ルゥヒ
lu'o	cmavo			   	LAhE      	～の群 ： 限定詞； sumti の左に付いて、その群を引き出す；	「lo bapli po lo verba cu cmalu .iku'i lu'o lo go'i cu barda／子供一人一人の力は弱いが、それらを合わせた力は強い」 ・読み方： ルゥホ
lu'u	cmavo			   	LUhU      	限定詞終了 ： 境界詞； LAhEで開かれた範囲を閉じる	・読み方： ルゥフ
ly	cmavo			   	BY2      	l ： 字詞；	・読み方： ルゥァ
ma	cmavo			   	KOhA7      	sumti 問 ： 代詞（sumti）； sumti の代わりに置いて疑問表現を作る；	「ma klama ma／誰がどこに来るの？」 ・読み方： マ
