a	cmavo   \nA      \nlogical connective: sumti afterthought or.
banxe'axe	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hah'' (Hahon).\nSee also {bangu}
banxe'axu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hax'' (Southern Haida).\nSee also {bangu}
banxe'azu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''haz'' (Hazaragi).\nSee also {bangu}
banxebu'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hba'' (Hamba).\nSee also {bangu}
banxebubu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hbb'' (Huba).\nSee also {bangu}
banxebunu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hbn'' (Heiban).\nSee also {bangu}
banxebu'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hbo'' (Ancient Hebrew).\nSee also {bangu}
banxebusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hbs'' (Serbo-Croatian).\nSee also {bangu}
banxebu'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hbu'' (Habu).\nSee also {bangu}
banxecu'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hca'' (Andaman Creole Hindi).\nSee also {bangu}
banxecuxe	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hch'' (Huichol).\nSee also {bangu}
banxeduje	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hdy'' (Hadiyya).\nSee also {bangu}
banxedunu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hdn'' (Northern Haida).\nSee also {bangu}
banxedusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hds'' (Honduras Sign Language).\nSee also {bangu}
banxe'e'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hea'' (Northern Qiandong Miao).\nSee also {bangu}
banxe'ebu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''heb'' (Hebrew).\nSee also {bangu}
banxe'edu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hed'' (Herdé).\nSee also {bangu}
banxe'egu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''heg'' (Helong).\nSee also {bangu}
banxe'e'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hei'' (Heiltsuk).\nSee also {bangu}
banxe'emu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hem'' (Hemba).\nSee also {bangu}
banxe'eru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''her'' (Herero).\nSee also {bangu}
banxe'exe	fu'ivla      \nx_1 is the language with ISO 639-3 code ''heh'' (Hehe).\nSee also {bangu}
banxegumu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hgm'' (Hai//om).\nSee also {bangu}
banxeguve	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hgw'' (Haigwai).\nSee also {bangu}
banxe'i'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hia'' (Lamang).\nSee also {bangu}
banxe'ibu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hib'' (Hibito).\nSee also {bangu}
banxe'idu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hid'' (Hidatsa).\nSee also {bangu}
banxe'ifu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hif'' (Fiji Hindi).\nSee also {bangu}
banxe'igu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hig'' (Kamwe).\nSee also {bangu}
banxe'i'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hii'' (Hinduri).\nSee also {bangu}
banxe'iju	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hij'' (Hijuk).\nSee also {bangu}
banxe'iku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hik'' (Seit-Kaitetu).\nSee also {bangu}
banxe'ilu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hil'' (Hiligaynon).\nSee also {bangu}
banxe'inu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hin'' (Hindi).\nCf. {xinbau}.
banxe'i'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hio'' (Tsoa).\nSee also {bangu}
banxe'iru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hir'' (Himarimã).\nSee also {bangu}
banxe'itu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hit'' (Hittite).\nSee also {bangu}
banxe'ive	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hiw'' (Hiw).\nSee also {bangu}
banxe'ixe	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hih'' (Pamosu).\nSee also {bangu}
banxe'ixu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hix'' (Hixkaryána).\nSee also {bangu}
banxeje'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hya'' (Hya).\nSee also {bangu}
banxeje'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hye'' (Armenian).\nSee also {bangu}
banxeju'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hji'' (Haji).\nSee also {bangu}
banxeku'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hka'' (Kahe).\nSee also {bangu}
banxeku'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hke'' (Hunde).\nSee also {bangu}
banxekuku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hkk'' (Hunjara-Kaina Ke).\nSee also {bangu}
banxekusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hks'' (Hong Kong Sign Language).\nSee also {bangu}
banxelu'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hla'' (Halia).\nSee also {bangu}
banxelubu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hlb'' (Halbi).\nSee also {bangu}
banxeludu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hld'' (Halang Doan).\nSee also {bangu}
banxelu'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hle'' (Hlersu).\nSee also {bangu}
banxelutu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hlt'' (Nga La).\nSee also {bangu}
banxelu'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hlu'' (Hieroglyphic Luwian).\nSee also {bangu}
banxemu'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hma'' (Southern Mashan Miao).\nSee also {bangu}
banxemubu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmb'' (Humburi Senni Songhay).\nSee also {bangu}
banxemucu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmc'' (Central Huishui Miao).\nSee also {bangu}
banxemudu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmd'' (Large Flowery Miao).\nSee also {bangu}
banxemu'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hme'' (Eastern Huishui Miao).\nSee also {bangu}
banxemufu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmf'' (Hmong Don).\nSee also {bangu}
banxemugu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmg'' (Southwestern Guiyang Hmong).\nSee also {bangu}
banxemu'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmi'' (Northern Huishui Miao).\nSee also {bangu}
banxemuje	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmy'' (Southern Guiyang Miao).\nSee also {bangu}
banxemuju	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmj'' (Gejia).\nSee also {bangu}
banxemuke	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmq'' (Eastern Qiandong Miao).\nSee also {bangu}
banxemuku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmk'' (Maek).\nSee also {bangu}
banxemulu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hml'' (Luopohe Miao).\nSee also {bangu}
banxemumu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmm'' (Central Mashan Miao).\nSee also {bangu}
banxemunu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmn'' (Mong).\nSee also {bangu}
banxemu'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmo'' (Hiri Motu).\nSee also {bangu}
banxemupu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmp'' (Northern Mashan Miao).\nSee also {bangu}
banxemuru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmr'' (Hmar).\nSee also {bangu}
banxemusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hms'' (Southern Qiandong Miao).\nSee also {bangu}
banxemutu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmt'' (Hamtai).\nSee also {bangu}
banxemu'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmu'' (Hamap).\nSee also {bangu}
banxemuve	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmw'' (Western Mashan Miao).\nSee also {bangu}
banxemuvu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmv'' (Hmong Dô).\nSee also {bangu}
banxemuxe	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmh'' (Southwestern Huishui Miao).\nSee also {bangu}
banxemuzu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hmz'' (Sinicized Miao).\nSee also {bangu}
banxenu'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hna'' (Mina (Cameroon)).\nSee also {bangu}
banxenudu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hnd'' (Southern Hindko).\nSee also {bangu}
banxenu'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hne'' (Chhattisgarhi).\nSee also {bangu}
banxenu'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hni'' (Hani).\nSee also {bangu}
banxenuju	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hnj'' (Mong Njua, Hmong Njua)\nSee also {bangu}
banxenunu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hnn'' (Hanunoo).\nSee also {bangu}
banxenu'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hno'' (Northern Hindko).\nSee also {bangu}
banxenusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hns'' (Caribbean Hindustani).\nSee also {bangu}
banxenu'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hnu'' (Hung).\nSee also {bangu}
banxenuxe	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hnh'' (//Ani).\nSee also {bangu}
banxe'o'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hoa'' (Hoava).\nSee also {bangu}
banxe'obu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hob'' (Mari (Madang Province)).\nSee also {bangu}
banxe'ocu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hoc'' (Ho).\nSee also {bangu}
banxe'odu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hod'' (Holma).\nSee also {bangu}
banxe'o'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hoe'' (Horom).\nSee also {bangu}
banxe'o'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hoi'' (Holikachuk).\nSee also {bangu}
banxe'oje	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hoy'' (Holiya).\nSee also {bangu}
banxe'oju	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hoj'' (Hadothi).\nSee also {bangu}
banxe'olu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hol'' (Holu).\nSee also {bangu}
banxe'omu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hom'' (Homa).\nSee also {bangu}
banxe'o'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hoo'' (Holoholo).\nSee also {bangu}
banxe'opu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hop'' (Hopi).\nSee also {bangu}
banxe'oru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hor'' (Horo).\nSee also {bangu}
banxe'osu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hos'' (Ho Chi Minh City Sign Language).\nSee also {bangu}
banxe'otu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hot'' (Malê).\nSee also {bangu}
banxe'ove	fu'ivla      \nx_1 is the language with ISO 639-3 code ''how'' (Honi).\nSee also {bangu}
banxe'ovu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hov'' (Hovongan).\nSee also {bangu}
banxe'oxe	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hoh'' (Hobyót).\nSee also {bangu}
banxe'ozu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hoz'' (Hozo).\nSee also {bangu}
banxepu'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hpo'' (Hpon).\nSee also {bangu}
banxepusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hps'' (Hawai'i Pidgin Sign Language).\nSee also {bangu}
banxeru'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hra'' (Hrangkhol).\nSee also {bangu}
banxeru'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hre'' (Hre).\nSee also {bangu}
banxeruku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hrk'' (Haruku).\nSee also {bangu}
banxerumu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hrm'' (Horned Miao).\nSee also {bangu}
banxeru'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hro'' (Haroi).\nSee also {bangu}
banxeruru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hrr'' (Horuru).\nSee also {bangu}
banxerutu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hrt'' (Hértevin).\nSee also {bangu}
banxeru'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hru'' (Hruso).\nSee also {bangu}
banxeruvu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hrv'' (Croatian).\nSee also {bangu}
banxeruxu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hrx'' (Hunsrik).\nSee also {bangu}
banxeruzu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hrz'' (Harzani).\nSee also {bangu}
banxesubu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hsb'' (Upper Sorbian).\nSee also {bangu}
banxesulu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hsl'' (Hausa Sign Language).\nSee also {bangu}
banxesunu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hsn'' (Xiang Chinese).\nSee also {bangu}
banxesusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hss'' (Harsusi).\nSee also {bangu}
banxesuxe	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hsh'' (Hungarian Sign Language).\nSee also {bangu}
banxetu'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hti'' (Hoti).\nSee also {bangu}
banxetu'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hto'' (Minica Huitoto).\nSee also {bangu}
banxetusu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hts'' (Hadza).\nSee also {bangu}
banxetu'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''htu'' (Hitu).\nSee also {bangu}
banxetuxu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''htx'' (Middle Hittite).\nSee also {bangu}
banxe'ubu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hub'' (Huambisa).\nSee also {bangu}
banxe'ucu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''huc'' (=/Hua).\nSee also {bangu}
banxe'udu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hud'' (Huaulu).\nSee also {bangu}
banxe'u'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hue'' (San Francisco Del Mar Huave).\nSee also {bangu}
banxe'ufu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''huf'' (Humene).\nSee also {bangu}
banxe'ugu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hug'' (Huachipaeri).\nSee also {bangu}
banxe'u'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hui'' (Huli).\nSee also {bangu}
banxe'uje	fu'ivla      \nx_1 is the language with ISO 639-3 code ''huy'' (Hulaulá).\nSee also {bangu}
banxe'uju	fu'ivla      \nx_1 is the language with ISO 639-3 code ''huj'' (Northern Guiyang Miao).\nSee also {bangu}
banxe'uke	fu'ivla      \nx_1 is the language with ISO 639-3 code ''huq'' (Tsat).\nSee also {bangu}
banxe'uku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''huk'' (Hulung).\nSee also {bangu}
banxe'ulu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hul'' (Hula).\nSee also {bangu}
banxe'umu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hum'' (Hungana).\nSee also {bangu}
banxe'unu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hun'' (Hungarian).\nSee also {bangu}
banxe'u'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''huo'' (Hu).\nSee also {bangu}
banxe'upu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hup'' (Hupa).\nSee also {bangu}
banxe'uru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hur'' (Halkomelem).\nSee also {bangu}
banxe'usu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hus'' (Huastec).\nSee also {bangu}
banxe'utu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hut'' (Humla).\nSee also {bangu}
banxe'u'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''huu'' (Murui Huitoto).\nSee also {bangu}
banxe'uve	fu'ivla      \nx_1 is the language with ISO 639-3 code ''huw'' (Hukumina).\nSee also {bangu}
banxe'uvu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''huv'' (San Mateo Del Mar Huave).\nSee also {bangu}
banxe'uxe	fu'ivla      \nx_1 is the language with ISO 639-3 code ''huh'' (Huilliche).\nSee also {bangu}
banxe'uxu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hux'' (Nüpode Huitoto).\nSee also {bangu}
banxe'uzu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''huz'' (Hunzib).\nSee also {bangu}
banxeve'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hwa'' (Wané).\nSee also {bangu}
banxevecu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hwc'' (Hawai'i Creole English).\nSee also {bangu}
banxeve'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hwo'' (Hwana).\nSee also {bangu}
banxevucu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hvc'' (Haitian Vodoun Culture Language).\nSee also {bangu}
banxevu'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hve'' (San Dionisio Del Mar Huave).\nSee also {bangu}
banxevuku	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hvk'' (Haveke).\nSee also {bangu}
banxevunu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hvn'' (Sabu).\nSee also {bangu}
banxevuvu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hvv'' (Santa María Del Mar Huave).\nSee also {bangu}
banxexe'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hhi'' (Hoia Hoia).\nSee also {bangu}
banxexeje	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hhy'' (Hoyahoya).\nSee also {bangu}
banxexeru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''hhr'' (Kerak).\nSee also {bangu}
banxre	lujvo      \nx_1 is a code-switched mixture of languages x_2, used by x_3\nSee {bangu}, {mixre}
banxu'a'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xaa'' (Andalusian Arabic).\nSee also {bangu}
banxu'abu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xab'' (Sambe).\nSee also {bangu}
banxu'acu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xac'' (Kachari).\nSee also {bangu}
banxu'adu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xad'' (Adai).\nSee also {bangu}
banxu'a'e	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xae'' (Aequian).\nSee also {bangu}
banxu'agu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xag'' (Aghwan).\nSee also {bangu}
banxu'a'i	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xai'' (Kaimbé).\nSee also {bangu}
banxu'aje	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xay'' (Kayan Mahakam).\nSee also {bangu}
banxu'ake	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xaq'' (Aquitanian).\nSee also {bangu}
banxu'alu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xal'' (Kalmyk, Oirat)\nSee also {bangu}
banxu'amu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xam'' (/Xam).\nSee also {bangu}
banxu'anu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xan'' (Xamtanga).\nSee also {bangu}
banxu'a'o	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xao'' (Khao).\nSee also {bangu}
banxu'apu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xap'' (Apalachee).\nSee also {bangu}
banxu'aru	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xar'' (Karami).\nSee also {bangu}
banxu'asu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xas'' (Kamas).\nSee also {bangu}
banxu'atu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xat'' (Katawixi).\nSee also {bangu}
banxu'a'u	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xau'' (Kauwera).\nSee also {bangu}
banxu'ave	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xaw'' (Kawaiisu).\nSee also {bangu}
banxu'avu	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xav'' (Xavánte).\nSee also {bangu}
banxubu'a	fu'ivla      \nx_1 is the language with ISO 639-3 code ''xba'' (Kamba (Brazil)).\nSee also {bangu}
