a	cmavo   \nA      \nлогический союз: последующая мысль в sumti: 'или'
kilto	gismu   \n-ki'o-      \nx_1 составляет тысячу [1000; 10^3] раз/крат x_2 (чего) в аспекте/измерении x_3 (по умолчанию, единицы)\n{grake} (грамм), {mitre} (метр), {snidu} (секунда), {stero} (стерадиан), {delno} (кандела), {molro} (моль [единица количества вещества]), {kelvo} (кельвин), {xampo} (ампер), {gradu} (градус), {litce} (литр), {merli} (измерять), {centi} (санти), {decti} (десятый [доля 1/10]), {dekto} (дека), {femti} (фемто), {gigdo} (гига), {gocti} (йокто), {gotro} (йотта), {megdo} (мега), {mikri} (микро), {milti} (милли), {nanvi} (нано), {petso} (пета), {picti} (пико), {terto} (тера), {xatsi} (атто), {xecto} (гекто), {xexso} (экса), {zepti} (зепто), {zetro} (зетта), {minli} (миля)
kinda	experimental gismu      \nx_1 вроде x_2 в свойстве/аспекте x_3\nШуточное слово от английского kinda (kind of). Основное употребление - в tanru {kinda} {sorta}
kinli	gismu   \n-kil-      \nx_1 — острый/заостренный в участке/точке x_2\n{balre} (клинок), {dakfu} (нож), {jesni} (игла [форма, не орудие])
ki'o	cmavo   \nPA3      \nцифра/число: запятая чисел (разделитель тысяч); тысячи; отделяет группы цифр (обычно по три) в одном числе друг от друга (используется для удобства). Если после [ki'o] других цифр нет, то считается обозначающим тысячу (добавляет три нуля в конце)
kiRIL	cmevla      \nКирилл (русское мужское имя)
kisto	gismu   \n-kis-      \nx_1 — пакистанский/{пушту} в аспекте x_2\n{xurdo} (урду)
ki'u	cmavo   \nBAI      \nмодальный предлог от krinu, 1-ое место (обоснованный... (чем))             обоснованно/оправданно; из-за обоснования, ...
ki'u ma	cmavo-compound   \nBAI*      \nsumti-вопрос, спрашивающий насчёт рационального объяснение/обоснования; почему?
ki'unai	cmavo-compound   \nBAI*      \nмодальный предлог от krinu, 1-ое место                            несмотря на причину, ...
klaji	gismu   \n-laj-      \nx_1 — улица/аллея/бульвар/переулок/тупик/{дорога} в x_2 (где), ведущая в x_3\nТакже: коридор; акцент не на маршруте, а на доступе к участкам вдоль него {naxle} (канал), {panka} (парк), {pluta} (путь), {dargu} (дорога)
klaku	gismu   \n-kak-      \nx_1 плачет слезами/проливает слезы x_2 по причине/поводу x_3 (событие/состояние); x_1 оплакивает ({fi}) x_3\n{badri} (грустный), {krixa} (кричать)
klama	gismu   \n-kla-      \nx_1 идет/едет/направляется/следует в x_2 (куда) из x_3 (откуда) по пути/маршруту x_4, используя средство передвижения x_5\nx_4, как множество, включает достаточное число точек, чтобы разумно определить маршрут {cadzu} (идти), {bajra} (бежать), {marce} (транспорт), {vofli} (лететь), {litru} (путешествовать), {muvdu} (двигаться), {cpare} (лезть), {ka'a}, {pluta} (путь), {bevri} (нести), {farlu} (падать), {limna} (плыть [активно]), {vitke} (гостить)
klani	gismu   \n-lai-      \nx_1 — величина/количество, имеющая/принимающая значение x_2 (числительное) по шкале x_3 ({si'o})\nТакже: счет/отсчет/размер {la'u}, {namcu} (число)
klesi	gismu   \n-kle-   \n-lei-      \nx_1 (масса/{si'o}) есть класс/категория/подгруппа/подмножество в x_2, определяемое свойством x_3 ({ka})\nТакже: в биологии: таксон, вид, род, семейство, отряд, тип {le'a}, {cmima} (член), {jutsi} (вид [рода (биологического)]), {ciste} (система), {girzu} (группа), {lanzu} (семья), {vrici} (разнообразный)
klina	gismu   \n-kli-      \nx_1 (объект/среда) прозрачен/проницаем/не представляет препятствия для x_2 (сигнал/излучение)\nТакже: «ясный»; x_2 виден/различим/проходит сквозь x_1; не рекомендуется употребление в переносном смысле «понятный»: {filseljmi} {kandi} (тусклый), {zunti} (мешать [препятствовать]); для «беспрепятственный» лучше {nalzu'i}
